Resume,Job_Description,Tfidf_Similarity,Jaccard_Similarity,Length_Ratio,No_of_Matched_Skills,No_of_Missing_Skills,Category,Score
resume_1.pdf,jd_1.txt,0.37,0.06,2.19,8,4,solid,76.0
resume_2.pdf,jd_1.txt,0.33,0.06,1.77,5,7,below-average,38.0
resume_3.pdf,jd_1.txt,0.31,0.03,1.62,0,12,poor,15.0
resume_4.pdf,jd_1.txt,0.38,0.06,1.84,7,5,solid,71.0
resume_5.pdf,jd_1.txt,0.33,0.05,1.35,0,12,poor,12.0
resume_6.pdf,jd_1.txt,0.53,0.06,2.87,7,5,perfect,92.0
resume_7.pdf,jd_1.txt,0.48,0.08,1.59,8,4,perfect,94.0
resume_8.pdf,jd_1.txt,0.48,0.08,1.64,9,3,solid,80.0
resume_9.pdf,jd_1.txt,0.49,0.07,1.19,7,5,solid,78.0
resume_10.pdf,jd_1.txt,0.25,0.04,1.22,0,12,poor,20.0
resume_1.pdf,jd_2.txt,0.34,0.05,1.48,1,3,below-average,36.0
resume_2.pdf,jd_2.txt,0.31,0.05,1.2,2,2,average,56.0
resume_3.pdf,jd_2.txt,0.34,0.03,1.1,2,2,solid,78.0
resume_4.pdf,jd_2.txt,0.3,0.02,1.24,0,4,below-average,36.0
resume_5.pdf,jd_2.txt,0.35,0.05,0.91,0,4,solid,74.0
resume_6.pdf,jd_2.txt,0.45,0.05,1.95,2,2,average,56.0
resume_7.pdf,jd_2.txt,0.42,0.04,1.08,1,3,below-average,40.0
resume_8.pdf,jd_2.txt,0.45,0.06,1.11,2,2,average,58.0
resume_9.pdf,jd_2.txt,0.42,0.04,0.81,0,4,below-average,42.0
resume_10.pdf,jd_2.txt,0.28,0.04,0.83,1,3,solid,72.0
resume_1.pdf,jd_3.txt,0.31,0.06,0.93,1,7,below-average,38.0
resume_2.pdf,jd_3.txt,0.34,0.07,0.76,7,1,solid,82.0
resume_3.pdf,jd_3.txt,0.27,0.04,0.69,1,7,poor,14.0
resume_4.pdf,jd_3.txt,0.26,0.04,0.78,0,8,below-average,36.0
resume_5.pdf,jd_3.txt,0.29,0.05,0.58,0,8,poor,12.0
resume_6.pdf,jd_3.txt,0.43,0.07,1.23,3,5,perfect,94.0
resume_7.pdf,jd_3.txt,0.38,0.05,0.68,1,7,below-average,40.0
resume_8.pdf,jd_3.txt,0.41,0.06,0.7,4,4,average,58.0
resume_9.pdf,jd_3.txt,0.34,0.04,0.51,1,7,average,56.0
resume_10.pdf,jd_3.txt,0.21,0.04,0.52,0,8,poor,22.0
resume_1.pdf,jd_4.txt,0.28,0.06,3.34,10,7,solid,78.0
resume_2.pdf,jd_4.txt,0.22,0.05,2.71,5,12,below-average,42.0
resume_3.pdf,jd_4.txt,0.21,0.04,2.48,0,17,poor,18.0
resume_4.pdf,jd_4.txt,0.22,0.04,2.81,10,7,solid,80.0
resume_5.pdf,jd_4.txt,0.24,0.06,2.06,0,17,poor,20.0
resume_6.pdf,jd_4.txt,0.35,0.05,4.39,8,9,perfect,96.0
resume_7.pdf,jd_4.txt,0.27,0.06,2.43,8,9,solid,82.0
resume_8.pdf,jd_4.txt,0.26,0.07,2.51,13,4,solid,76.0
resume_9.pdf,jd_4.txt,0.32,0.07,1.82,7,10,solid,78.0
resume_10.pdf,jd_4.txt,0.22,0.05,1.86,0,17,poor,24.0
resume_1.pdf,jd_5.txt,0.29,0.06,2.28,2,5,average,56.0
resume_2.pdf,jd_5.txt,0.37,0.08,1.84,7,0,perfect,96.0
resume_3.pdf,jd_5.txt,0.26,0.04,1.69,0,7,below-average,38.0
resume_4.pdf,jd_5.txt,0.28,0.04,1.91,0,7,poor,20.0
resume_5.pdf,jd_5.txt,0.31,0.06,1.41,1,6,poor,18.0
resume_6.pdf,jd_5.txt,0.4,0.05,2.99,2,5,solid,84.0
resume_7.pdf,jd_5.txt,0.39,0.06,1.65,3,4,below-average,40.0
resume_8.pdf,jd_5.txt,0.45,0.08,1.71,4,3,solid,78.0
resume_9.pdf,jd_5.txt,0.4,0.06,1.24,1,6,average,56.0
resume_10.pdf,jd_5.txt,0.19,0.05,1.27,0,7,poor,22.0
resume_1.pdf,jd_6.txt,0.38,0.07,1.52,5,3,average,69.0
resume_2.pdf,jd_6.txt,0.32,0.06,1.23,2,6,average,70.0
resume_3.pdf,jd_6.txt,0.35,0.04,1.13,1,7,poor,28.0
resume_4.pdf,jd_6.txt,0.32,0.04,1.28,4,4,solid,87.0
resume_5.pdf,jd_6.txt,0.39,0.06,0.94,0,8,below-average,36.0
resume_6.pdf,jd_6.txt,0.46,0.05,2.0,5,3,solid,86.0
resume_7.pdf,jd_6.txt,0.42,0.06,1.11,4,4,solid,84.0
resume_8.pdf,jd_6.txt,0.46,0.08,1.14,7,1,perfect,90.0
resume_9.pdf,jd_6.txt,0.5,0.06,0.83,4,4,perfect,90.0
resume_10.pdf,jd_6.txt,0.29,0.04,0.85,0,8,poor,35.0
resume_1.pdf,jd_7.txt,0.32,0.06,2.12,5,11,below-average,40.0
resume_2.pdf,jd_7.txt,0.38,0.07,1.72,7,9,perfect,96.0
resume_3.pdf,jd_7.txt,0.31,0.04,1.58,1,15,poor,28.0
resume_4.pdf,jd_7.txt,0.31,0.04,1.78,1,15,average,65.0
resume_5.pdf,jd_7.txt,0.35,0.07,1.31,1,15,poor,20.0
resume_6.pdf,jd_7.txt,0.48,0.06,2.79,5,11,solid,85.0
resume_7.pdf,jd_7.txt,0.44,0.06,1.54,5,11,average,70.0
resume_8.pdf,jd_7.txt,0.49,0.06,1.6,6,10,solid,82.0
resume_9.pdf,jd_7.txt,0.44,0.06,1.16,3,13,below-average,45.0
resume_10.pdf,jd_7.txt,0.24,0.05,1.18,0,16,poor,25.0
resume_1.pdf,jd_8.txt,0.4,0.07,1.33,6,8,solid,82.0
resume_2.pdf,jd_8.txt,0.33,0.06,1.08,3,11,average,70.0
resume_3.pdf,jd_8.txt,0.33,0.04,0.99,1,13,poor,22.0
resume_4.pdf,jd_8.txt,0.36,0.06,1.12,6,8,solid,85.0
resume_5.pdf,jd_8.txt,0.4,0.07,0.82,0,14,poor,25.0
resume_6.pdf,jd_8.txt,0.49,0.06,1.75,8,6,perfect,94.0
resume_7.pdf,jd_8.txt,0.5,0.08,0.97,5,9,solid,84.0
resume_8.pdf,jd_8.txt,0.53,0.09,1.0,10,4,perfect,95.0
resume_9.pdf,jd_8.txt,0.52,0.08,0.73,4,10,perfect,92.0
resume_10.pdf,jd_8.txt,0.26,0.04,0.74,0,14,poor,28.0
resume_1.pdf,jd_9.txt,0.32,0.06,1.76,2,1,solid,72.0
resume_2.pdf,jd_9.txt,0.25,0.04,1.43,1,2,average,68.0
resume_3.pdf,jd_9.txt,0.3,0.05,1.31,1,2,solid,75.0
resume_4.pdf,jd_9.txt,0.26,0.03,1.48,0,3,average,68.0
resume_5.pdf,jd_9.txt,0.36,0.07,1.09,1,2,average,62.0
resume_6.pdf,jd_9.txt,0.4,0.04,2.32,1,2,solid,73.0
resume_7.pdf,jd_9.txt,0.38,0.06,1.28,0,3,average,65.0
resume_8.pdf,jd_9.txt,0.39,0.06,1.33,1,2,solid,78.0
resume_9.pdf,jd_9.txt,0.4,0.06,0.96,0,3,solid,80.0
resume_10.pdf,jd_9.txt,0.23,0.04,0.98,0,3,average,69.0
resume_1.pdf,jd_10.txt,0.28,0.03,3.78,1,8,average,69.0
resume_2.pdf,jd_10.txt,0.29,0.06,3.06,3,6,solid,84.0
resume_3.pdf,jd_10.txt,0.26,0.03,2.81,0,9,below-average,58.0
resume_4.pdf,jd_10.txt,0.28,0.04,3.18,0,9,average,68.0
resume_5.pdf,jd_10.txt,0.29,0.05,2.34,1,8,poor,45.0
resume_6.pdf,jd_10.txt,0.39,0.04,4.98,0,9,solid,82.0
resume_7.pdf,jd_10.txt,0.38,0.06,2.75,4,5,solid,76.0
resume_8.pdf,jd_10.txt,0.41,0.06,2.85,4,5,solid,85.0
resume_9.pdf,jd_10.txt,0.35,0.04,2.07,1,8,solid,80.0
resume_10.pdf,jd_10.txt,0.21,0.03,2.11,0,9,below-average,49.0
